Name,Score,Type,Episodes,Aired,Studios,Premiered
Great Teacher Onizuka,8.68,TV,43,"Jun 30, 1999 to Sep 17, 2000",Studio Pierrot,Summer 1999
Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,TV,14,"Oct 5, 2024 to Dec 28, 2024",Pierrot Films,Fall 2024
Hajime no Ippo: New Challenger,8.67,TV,26,"Jan 7, 2009 to Jul 1, 2009",Madhouse,Winter 2009
Howl no Ugoku Shiro,8.67,Movie,1,"Nov 20, 2004",Studio Ghibli,N/A
Mononoke Hime,8.67,Movie,1,"Jul 12, 1997",Studio Ghibli,N/A
Monogatari Series: Off &amp;amp; Monster Season,8.66,ONA,14,"Jul 6, 2024 to Oct 19, 2024",Shaft,N/A
Mushishi,8.65,TV,26,"Oct 23, 2005 to Jun 19, 2006",Artland,Fall 2005
Tian Guan Cifu Er,8.65,ONA,12,"Oct 18, 2023 to Jan 17, 2024",Red Dog Culture House,N/A
Guimi Zhi Zhu: Xiaochou Pian,8.65,ONA,13,"Jun 28, 2025 to Aug 16, 2025",B.CMAY PICTURES,N/A
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.64,Movie,1,"Aug 15, 2020",ufotable,N/A
Odd Taxi,8.64,TV,13,"Apr 6, 2021 to Jun 29, 2021",OLM,Spring 2021
Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.64,TV,13,"Jan 5, 2025 to Mar 30, 2025",A-1 Pictures,Winter 2025
Shigatsu wa Kimi no Uso,8.64,TV,22,"Oct 10, 2014 to Mar 20, 2015",A-1 Pictures,Fall 2014
Shiguang Dailiren II,8.64,ONA,12,"Jul 14, 2023 to Sep 22, 2023",LAN Studio,N/A
Shingeki no Kyojin Season 3,8.64,TV,12,"Jul 23, 2018 to Oct 15, 2018",Wit Studio,Summer 2018
Tengen Toppa Gurren Lagann,8.64,TV,27,"Apr 1, 2007 to Sep 30, 2007",Gainax,Spring 2007
Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.63,Movie,1,"May 24, 2024",CygamesPictures,N/A
Look Back,8.63,Movie,1,"Jun 28, 2024",Studio DURIAN,N/A
Made in Abyss,8.63,TV,13,"Jul 7, 2017 to Sep 29, 2017",Kinema Citrus,Summer 2017
Natsume Yuujinchou Shi,8.63,TV,13,"Jan 3, 2012 to Mar 27, 2012",Brain&#039;s Base,Winter 2012
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,TV,12,"Apr 11, 2020 to Jun 27, 2020",A-1 Pictures,Spring 2020
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.62,TV,12,"Oct 4, 2021 to Dec 20, 2021",Studio Bind,Fall 2021
Ping Pong the Animation,8.62,TV,11,"Apr 11, 2014 to Jun 20, 2014",Tatsunoko Production,Spring 2014
Cyberpunk: Edgerunners,8.62,ONA,10,"Sep 13, 2022",Trigger,N/A
Death Note,8.62,TV,37,"Oct 4, 2006 to Jun 27, 2007",Madhouse,Fall 2006
Haikyuu!! Second Season,8.62,TV,25,"Oct 4, 2015 to Mar 27, 2016",Production I.G,Fall 2015
Bungou Stray Dogs 5th Season,8.61,TV,11,"Jul 12, 2023 to Sep 20, 2023",Bones,Summer 2023
Haikyuu!! Movie: Gomisuteba no Kessen,8.61,Movie,1,"Feb 16, 2024",Production I.G,N/A
Hajime no Ippo: Rising,8.61,TV,25,"Oct 6, 2013 to Mar 30, 2014",Madhouse,Fall 2013
